Title,Place,Place_name_normalised,Type,Occurrences,Longitude,Latitude,ID_Wikidata
Segunda parte,África,Africa,"Continente, país, región, ciudad, pueblo",4,7.1881,21.09375,Q15
Segunda parte,Aguja de San Pedro,Vatican Obelisk,"Monumento, edificio, calle",1,12.4564,41.9022,X
Segunda parte,Alemania,Germany,"Continente, país, región, ciudad, pueblo",5,10,51,Q183
Segunda parte,Almodóvar del Campo,Almodóvar del Campo,"Continente, país, región, ciudad, pueblo",2,-4.1666666666667,38.718611111111,Q1631896
Segunda parte,Amberes,Antwerp,"Continente, país, región, ciudad, pueblo",1,4.39972222222222,51.2211111111111,Q12892
Segunda parte,Andalucía,Andalusia,"Continente, país, región, ciudad, pueblo",2,-5.9875,37.405,Q5783
Segunda parte,Arabia,Arabian Peninsula,"Continente, país, región, ciudad, pueblo",2,46,23,Q31945
Segunda parte,Aragón,Aragon,"Continente, país, región, ciudad, pueblo",7,-1,41,Q4040
Segunda parte,Arcadia,Arcadia,Entidad fantástica,3,22.2,37.6,Q168786
Segunda parte,Argel,Algiers,"Continente, país, región, ciudad, pueblo",5,3.0586111111111,36.776388888889,Q3561
Segunda parte,Arlanza,Arlanza River,Accidente geográfico,1,-3.5945444444444,42.030841666667,Q14760
Segunda parte,Asia,Asia,"Continente, país, región, ciudad, pueblo",1,87.3311111111111,43.6811111111111,Q48
Segunda parte,Asturias,Asturias,"Continente, país, región, ciudad, pueblo",1,-5.84777777777778,43.3613888888889,Q3934
Segunda parte,Atenas,Athens,"Continente, país, región, ciudad, pueblo",1,23.7280555555556,37.9841666666667,Q1524
Segunda parte,Barcelona,Barcelona,"Continente, país, región, ciudad, pueblo",15,2.1769444444444,41.3825,Q1492
Segunda parte,Berbería,Barbary Coast,"Continente, país, región, ciudad, pueblo",10,4,32,Q501768
Segunda parte,Bolonia,Bologna,"Continente, país, región, ciudad, pueblo",1,11.342777777778,44.493888888889,Q1891
Segunda parte,Bretaña,Brittany,"Continente, país, región, ciudad, pueblo",2,-3,48,Q327
Segunda parte,Cádiz,Cádiz,"Continente, país, región, ciudad, pueblo",1,-6.2975,36.535,Q15682
Segunda parte,Calle de Santiago,"Calle de Santiago, Madrid","Monumento, edificio, calle",1,-3.7103,40.416388888889,Q29006264
Segunda parte,Cantillana,Cantillana,"Continente, país, región, ciudad, pueblo",1,-5.8244449,37.6088766,Q683023
